x_m,y_m,Element Amplifier Gain (Decibel)
0.16933338219071603,0.2563213026028707,-3.3439331198849924
0.20631480611393835,0.4006549700163957,-9.276625054198213
0.21643015226892676,-0.09400272046886748,-6.535589869110745
-0.29224100472916925,0.24012572322355275,-9.496762948659093
0.1279206150224664,0.29286871271210513,-4.355728783748894
-0.1636766095933077,-0.04611497786670116,-1.5554950318381309
0.21844139343915028,0.3899246507791979,-9.780723611061418
-0.18540972498753236,0.2664359295707889,-8.938660093134002
0.1752777648943361,-0.045141207232807457,-6.941241326582733
0.023069856350109653,0.08631455622101614,-0.9292670706287769
0.1479496753403053,-0.06208788062943743,-0.01145603798656758
0.31512286380152943,0.04294912183204392,-9.09716834959747
0.04911279234677058,0.14855538493418607,-4.810548857708655
-0.019759551562617106,0.0725965457539754,-1.4641400775214777
-0.00047796735646665756,0.022881295411813496,-5.642935383974223
0.013985648055809818,0.12508303437430301,-1.5237242209845405
0.34500280185196364,0.11452643774551752,-6.2068315789912365
-0.3323980968463017,-0.4195966364721349,-6.885440626004416
0.20985929878845863,-0.4204440592787652,-4.069147606581572
-0.053245769667479306,0.3841728119648051,-4.075114378423059
-0.5,0.25849572605482574,-8.30295392992605
0.19602517880354378,-0.09635286868757534,-1.011422321205156
0.05012979572528912,-0.46841352762090693,-5.147996288751784
0.3026206752959319,-0.27504377572036776,-0.907250802796403
0.4335900048016653,-0.33612019563938117,-6.607175885240695
