x_m,y_m,Element Amplifier Gain (Decibel)
-0.2583430497777058,0.37269800054244684,-7.146504991848431
-0.4150100978461281,0.09190113722583113,-9.979698079802745
0.014351820310477097,0.4416179004185727,-1.4384733763230464
-0.00910005224706414,-0.23612195402042951,-1.2199267966655631
-0.2337800828367799,-0.029341087365268196,-6.37562434198772
0.4935521284876761,0.15403554484787568,-5.910461430816155
-0.004466100197602019,-0.24777108396229333,-3.0938842636766903
0.05664538351134256,-0.23640126581730145,-0.1295221751579796
-0.4193753894598815,-0.22718147694454674,-4.465497803675874
-0.11257139127360533,-0.4005140333354853,-9.7148718219068
0.3008684219958751,-0.31032763772537547,-7.961870470525325
-0.14096510811663174,0.11770670324273569,-6.4988467451372935
-0.06001879049762152,0.5,-4.934907265615072
0.19640791971403065,0.2704044019498978,-0.26950293105507517
-0.1684435064741999,-0.4576369801757604,-0.015619490418974374
-0.1339102610596418,-0.08061602018698273,-0.21855368325498595
0.36811844004635613,0.37230531825081814,-2.2574757398213725
0.4874354366717603,-0.45094132621237126,-2.5027046993416313
-0.22674454659002014,-0.0703266452973125,-0.606583519239085
-0.3506123536951778,-0.2977619047650969,-2.2732966244750394
0.4634916784079897,0.19866771090353338,-6.420302797943072
0.11864326807876875,0.21350606310305673,-1.7611186992914725
0.3034973324094834,0.05695658815606483,-0.4186079184307573
0.18934057630868945,-0.39333376123221414,-0.18250560550087142
-0.0669500975571743,0.158884972799141,-2.7203363727044763
